,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
3481,BDCQ.SEA2CT,2013.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3482,BDCQ.SEA2CT,2014.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3483,BDCQ.SEA2CT,2014.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3484,BDCQ.SEA2CT,2014.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3485,BDCQ.SEA2CT,2014.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3486,BDCQ.SEA2CT,2015.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3487,BDCQ.SEA2CT,2015.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3488,BDCQ.SEA2CT,2015.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3489,BDCQ.SEA2CT,2015.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3490,BDCQ.SEA2CT,2016.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3491,BDCQ.SEA2CT,2016.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3492,BDCQ.SEA2CT,2016.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3493,BDCQ.SEA2CT,2016.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3494,BDCQ.SEA2CT,2017.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3495,BDCQ.SEA2CT,2017.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
